p1,p1_units,d1_sample_idx,d1,p2,p2_units,mean_cost,std_cost,cv_pct,min_cost,max_cost,median_cost,q25_cost,q75_cost
6,300,47,69.11733001006077,6,300,44311.74011513856,3423.8034388029546,7.726628270310817,34129.921034741026,51977.0157847788,44398.41136291962,42402.98827297986,47037.8478969061
6,300,47,69.11733001006077,7,350,47212.996345519845,3217.8941278738657,6.815695628221273,37579.921034741026,54377.0157847788,47236.71012602067,45362.071905168996,49489.466571953766
6,300,47,69.11733001006077,8,400,50099.029754983196,2814.4000714871736,5.617673805763142,41029.921034741026,56202.0157847788,49966.257604632425,48472.85339336655,51978.04964393252
6,300,47,69.11733001006077,9,450,52661.445671151065,2629.783844246942,4.9937555088571886,44479.921034741026,58627.0157847788,52578.50046449057,51090.04922014516,54444.10815036746
6,300,47,69.11733001006077,10,500,54998.631879272565,2487.889863321546,4.523548638051052,46804.921034741026,61027.0157847788,54766.257604632425,53451.5943038522,56683.794627296986
6,300,48,124.33004069130392,1,50,22953.372198848152,3076.6587692177973,13.403951029784592,17115.90596760946,29864.025639919226,22515.603438284918,20690.23404048398,25465.11893446608
6,300,48,124.33004069130392,2,100,26054.536843130434,3308.5988176735323,12.698743553163105,19190.90596760946,33287.23266563192,25681.204001405968,23764.38524868111,28405.617913287984
6,300,48,124.33004069130392,3,150,29446.9542778154,3495.972585769105,11.872102468685135,21947.598767989388,37537.83091483999,29084.099209071137,26854.46859891636,32114.868171337774
6,300,48,124.33004069130392,4,200,32516.896818076075,3524.664312821888,10.839485491317038,25449.89165746117,40412.83091483999,32004.159277543287,29742.187547442336,35335.83457743056
6,300,48,124.33004069130392,5,250,36351.0412134402,3341.4766796521435,9.192244755885252,29185.69753959895,44437.83091483999,36394.33709709358,33795.68969373219,38862.19795298256
6,300,48,124.33004069130392,6,300,40012.084972352066,3389.652007255475,8.47157055074158,32635.697539598947,48673.84563817676,40284.95802526716,37391.111859571945,42491.09549675806
